year month day precipitation_cpc
1983 03 13 0.539
1983 03 14 17.232
1983 03 15 8.649
1983 03 16 8.018
1983 03 17 1.467
1983 03 18 3.858
1983 03 19 0.162
1983 03 20 2.685
1983 03 21 16.376
1983 03 22 3.613
1983 03 23 7.104
1983 03 24 8.885
1983 03 25 1.417
1983 03 26 1.752
1983 03 27 2.961
1983 03 28 1.317
1983 03 29 7.485
1983 03 30 4.507
1983 03 31 5.347
1983 04 01 0.648
1983 04 02 5.108
1983 04 03 2.019
1983 04 04 0.000
1983 04 05 0.067
1983 04 06 0.000
1983 04 07 5.489
1983 04 08 16.697
1983 04 09 0.333
1983 04 10 0.811
1983 04 11 0.100
1983 04 12 1.259
1983 04 13 0.379
1983 04 14 5.061
1983 04 15 0.750
1983 04 16 0.681
1983 04 17 18.915
1983 04 18 6.290
1983 04 19 5.548
1983 04 20 0.486
1983 04 21 0.052
1983 04 22 21.753
1983 04 23 5.249
1983 04 24 3.934
1983 04 25 0.855
1983 04 26 1.188
1983 04 27 10.385
1983 04 28 13.940
1983 04 29 0.204
1983 04 30 0.230
1983 05 01 0.245
1983 05 02 0.131
1983 05 03 0.278
1983 05 04 14.900
1983 05 05 3.112
1983 05 06 0.208
1983 05 07 0.600
1983 05 08 0.000
1983 05 09 0.363
1983 05 10 1.394
1983 05 11 0.371
1983 05 12 0.044
1983 05 13 1.216
1983 05 14 4.155
1983 05 15 0.086
1983 05 16 0.113
1983 05 17 1.581
1983 05 18 0.397
1983 05 19 0.045
1983 05 20 0.039
1983 05 21 0.041
1983 05 22 0.091
1983 05 23 0.000
1983 05 24 0.000
1983 05 25 0.188
1983 05 26 13.212
1983 05 27 6.857
1983 05 28 0.375
1983 05 29 0.196
1983 05 30 0.294
1983 05 31 0.179
1983 06 01 0.104
1983 06 02 0.315
1983 06 03 12.847
1983 06 04 0.216
1983 06 05 0.132
1983 06 06 0.000
1983 06 07 2.741
1983 06 08 2.024
1983 06 09 0.220
1983 06 10 0.027
1983 06 11 0.492
1983 06 12 0.082
1983 06 13 0.000
1983 06 14 0.012
1983 06 15 0.000
1983 06 16 0.443
1983 06 17 0.045
1983 06 18 0.129
